Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.4@πίπτουσι,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.axioms.4@πίπτουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.2@τῶν περιλαμβανομένων,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.postulates.2@τὴν περιλαμβανομένην
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.postulates.5@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.1@ἐστὶν[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[1],agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.2@ΖΕ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.5@ἐστιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.5@ἐστιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔστω,agrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.6@ἔστω
urn:cts:greekLit:tlg0552.tlg001.cb8:1.axioms.6@ἐπειδ’ἂν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.axioms.6@ἐπειδὰν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἑαυτὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.postulates.5@αὐτὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἑαυτὸ,agrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.postulates.5@ἑαυτὸ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἐστὶ,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.postulates.5@ἐστὶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.1@ἐστὶν[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τοῦ πρώτου,disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.2@τοῦ α
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ΖΕ[2],agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.2@ΖΕ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τὸ ZH,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.2@ἡ ZH
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.2@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἴσον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.2@εἰρημένον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.5@ἐπιγραφὲν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.5@ἐγγραφὲν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔχειν,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@ἔχει
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.5@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msC:1.postulates.5@ἐστὶν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[1],agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.1@ἐστὶ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ἔλασσον,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.3@ἔλαττον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΝΓ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msJ:1.propositions.3@ΝΓ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἔστω,agrees,urn:cts:greekLit:tlg0552.tlg001.msA:1.propositions.6@ἔστω
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἐστὶ,disagrees,urn:cts:greekLit:tlg0552.tlg001.Heiberg:1.propositions.6@δὲ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.1@ἐστὶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msF:1.propositions.1@ἐστὶν[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@τοῦ πρώτου,disagrees,urn:cts:greekLit:tlg0552.tlg001.msB:1.propositions.2@τοῦ α
