147v-142r_Arch40r_Sinar_true_pack8,urn:cite:fuhc:pal.40r
148r-141v_Arch41v_Sinar_true_pack8,urn:cite:fuhc:pal.41v
148v-141r_Arch41r_Sinar_true_pack8,urn:cite:fuhc:pal.41r
149r-154v_Arch57r_Sinar_true_pack8,urn:cite:fuhc:pal.57r
149v-154r_Arch57v_Sinar_true_pack8,urn:cite:fuhc:pal.57v
150r-153v_Arch58r_Sinar_true_pack8,urn:cite:fuhc:pal.58r
150v-153r_Arch58v_Sinar_true_pack8,urn:cite:fuhc:pal.58v
157r-160v_Arch22r_Sinar_true_pack8,urn:cite:fuhc:pal.22r
157v-160r_Arch22v_Sinar_true_pack8,urn:cite:fuhc:pal.22v
158r-159v_Arch28r_Sinar_true_pack8,urn:cite:fuhc:pal.28r
158v-159r_Arch28v_Sinar_true_pack8,urn:cite:fuhc:pal.28v
161r-156v_Arch35r_Sinar_true_pack8,urn:cite:fuhc:pal.35r
161v-156r_Arch35v_Sinar_true_pack8,urn:cite:fuhc:pal.35v
162r-155v_Arch32r_Sinar_true_pack8,urn:cite:fuhc:pal.32r
162v-155r_Arch32v_Sinar_true_pack8,urn:cite:fuhc:pal.32v
165r-168v_Arch29v-30r_Sinar_true_pack8,urn:cite:fuhc:pal.29v
166r-167v_Arch24r_Sinar_true_pack8,urn:cite:fuhc:pal.24r
166v-167r_Arch24v_Sinar_true_pack8,urn:cite:fuhc:pal.24v
168r-165v_Arch30v-29r_Sinar_true_pack8,urn:cite:fuhc:pal.30v
169r-164v_Arch14r_Sinar_true_pack8,urn:cite:fuhc:pal.14r
169v-164r_Arch14v_Sinar_true_pack8,urn:cite:fuhc:pal.14v
170r-163v_Arch21r_Sinar_true_pack8,urn:cite:fuhc:pal.21r
170v-163r_Arch21v_Sinar_true_pack8,urn:cite:fuhc:pal.21v
177r-172v_Arch69r_Sinar_true_pack8,urn:cite:fuhc:pal.69r
177v-172r_Arch69v_Sinar_true_pack8,urn:cite:fuhc:pal.69v
