Bodmer8Reading,Relation,DifferingReading
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9@λήμμασιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.9@λήμμασι
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.9@γεγραμμένον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.corollaries.9@ἐγγεγραμμένον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.10@ἲσον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.corollaries.10@ἴσας
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.10@ἲσον,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.corollaries.10@ἴσας
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11@κύκλος,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.corollaries.11@κύκλον
urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.12@τῶ[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.corollaries.12@τὸ[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2@ΒΖΚ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.2@ΒΖ
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ἄλλω[1],disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.5@ἄλλο[1]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ὅμοιος,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:2.propositions.5@ὁμοίως
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5@ΑΓΒ[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.5@ΑΒΓ[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9@ΛΝ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:2.propositions.9@ΛΗ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.postulates.2@ἔχωσιν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.postulates.2@ἔχουσιν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.2@ἔστω,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.2@ὥστε
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.3@ΗΞ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.3@ΝΞ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@ἀπολείμματα,disagrees,urn:cts:greekLit:tlg0552.tlg001.msD:1.propositions.6@ἀπολίμματα
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.6@περιλείμματα[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msE:1.propositions.6@περιλίμματα[2]
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.7@τὸ,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.7@τῶ
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@περιληφθέν,disagrees,urn:cts:greekLit:tlg0552.tlg001.msH:1.propositions.10@περιλειφθέν
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἡμισείας,disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.10@ἡμισίας
urn:cts:greekLit:tlg0552.tlg001.cb8:1.propositions.10@ἐστὶν[2],disagrees,urn:cts:greekLit:tlg0552.tlg001.msG:1.propositions.10@ἐστὶ[2]
