omittedText,section,folio,order
ὑπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,215v,150
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,216v,163
μὲν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217v,174
ἔσται,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.2,171r,010
μείζονα λόγον ἔχει ἤπερ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171v,015
τὴν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.preface,178r,027
πρὸς ΒΓ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.sporus,184v,038
ἔσται,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.3,171r,011
καὶ αἱ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.8,172r,016
δοωεῖσα,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.apollonius,181v,034
ἢ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.1.eratosthenes,187r,042
ἡ δὲ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4,201r,081
δὲ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.4.diocles,206r,099
ἔσται,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.5.synthesis,209v,112
ὦσιν,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8,211v,123
τὸ ἀπὸ ΑΘ ἐπὶ  τὴν ΘΗ πρὸς τὸ ἀπὸ ΓΘ ἐπὶ τὴν ΘΗ. πρὸς ὃ δὲ τὸ  αὐτὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214r,136
πρὸς τὸ τμῆμα[2],urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,214v,143
ΓΘΒ: τὸ ἄρα ἀπὸ ΑΘ ἐπὶ τὴν ΘΗ πρὸς τὸ ἀπὸ ΓΘ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.8b,216r,158
τῷ ἀπὸ ΑΡ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217r,169
ἀπὸ,urn:cts:greekLit:tlg4072.tlg001.cb8:2.propositions.9,217v,173
αἱ[2],urn:cts:greekLit:tlg4072.tlg001.cb8:1.propositions.13,173v,019
τῇ ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.1,175r,021
ἡ,urn:cts:greekLit:tlg4072.tlg001.cb8:1.corollaries.11,176v,026
