ObservationId,DiagramUrn,TextReading,ImageReference,Comments
urn:cite:openpal:team#.120,urn:cite:ap:figures.013@θ[1],θ,"urn:cite:ecod:codbod8.cb-0008_013v@0.5387,0.2939,0.0163,0.0141",theta
urn:cite:openpal:team#.121,urn:cite:ap:figures.013@μ[1],μ,"urn:cite:ecod:codbod8.cb-0008_013v@0.6091,0.2384,0.0314,0.0188",mu
urn:cite:openpal:team#.122,urn:cite:ap:figures.014@α[1],α,"urn:cite:ecod:codbod8.cb-0008_015v@0.3979,0.4814,0.0188,0.0132",alpha
urn:cite:openpal:team#.123,urn:cite:ap:figures.014@β[1],β,"urn:cite:ecod:codbod8.cb-0008_015v@0.6386,0.4635,0.0188,0.017",beta
urn:cite:openpal:team#.124,urn:cite:ap:figures.014@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4819,0.4616,0.0138,0.0104",gamma
urn:cite:openpal:team#.125,urn:cite:ap:figures.014@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4769,0.5775,0.0201,0.0151",delta
urn:cite:openpal:team#.126,urn:cite:ap:figures.014@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_015v@0.5108,0.5247,0.0113,0.0104",epsilon
urn:cite:openpal:team#.127,urn:cite:ap:figures.014@ζ[1],ζ,"urn:cite:ecod:codbod8.cb-0008_015v@0.512,0.5794,0.0238,0.0104",zeta
urn:cite:openpal:team#.128,urn:cite:ap:figures.014@η[1],η,"urn:cite:ecod:codbod8.cb-0008_015v@0.2938,0.4757,0.0125,0.0123",eta
urn:cite:openpal:team#.129,urn:cite:ap:figures.014@λ[1],λ,"urn:cite:ecod:codbod8.cb-0008_015v@0.7051,0.5765,0.0163,0.0113",lambda
urn:cite:openpal:team#.130,urn:cite:ap:figures.014@μ[1],μ,"urn:cite:ecod:codbod8.cb-0008_015v@0.2675,0.569,0.0251,0.0141",mu
urn:cite:openpal:team#.131,urn:cite:ap:figures.014@ρ[1],ρ,"urn:cite:ecod:codbod8.cb-0008_015v@0.5183,0.454,0.0138,0.016",rho
urn:cite:openpal:team#.132,urn:cite:ap:figures.014@τ[1],τ,"urn:cite:ecod:codbod8.cb-0008_015v@0.4882,0.5256,0.015,0.0085",tau
urn:cite:openpal:team#.133,urn:cite:ap:figures.015@α[1],α,"urn:cite:ecod:codbod8.cb-0008_017r@0.3885,0.7149,0.0263,0.0179",alpha
urn:cite:openpal:team#.134,urn:cite:ap:figures.015@β[1],β,"urn:cite:ecod:codbod8.cb-0008_017r@0.6192,0.7037,0.0176,0.0141",beta
urn:cite:openpal:team#.135,urn:cite:ap:figures.015@γ[1],γ,"urn:cite:ecod:codbod8.cb-0008_017r@0.4462,0.8156,0.0163,0.015",gamma
urn:cite:openpal:team#.136,urn:cite:ap:figures.015@δ[1],δ,"urn:cite:ecod:codbod8.cb-0008_017r@0.5502,0.8062,0.0213,0.0292",delta
urn:cite:openpal:team#.137,urn:cite:ap:figures.015@ε[1],ε,"urn:cite:ecod:codbod8.cb-0008_017r@0.5039,0.8165,0.0163,0.016",epsilon
urn:cite:openpal:team#.###,urn:cite:ap:figures.016@#[1],,"",
