omittedText,section,folio,order
ἡ ΚΖ πρὸς ΖΗ ἡ ΚΗ πρὸς ΖΗ ἐλάσσονα λόγον ἔχει ἢ διπλασίονα τοῦ ὃν ἔχει,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8,55r,123
τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.lemmata.16,29v,058
αἱ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.1,31r,064
"τὸ ΛΚΖ πολύγωνον, καὶ περὶ αὐτὸ κύκλος περιγεγράφθω",urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.10,38r,087
τοῦ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.2,45v,110
τῷ ΑΒΓ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.7,54r,120
Ἔστι δὴ δύο μεγέθη ἄνισα ἥ τε ἐπιφάνεια τῆς σφαίρας,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.2,31v,066
ἔσται οὖν,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.5,34v,077
τὴν,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.1,44r,106
"τῷ κύκλῳ, οὗ ἡ ἐκ τοῦ κέντρου ἴση ἐστὶ",urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6,52v,116
τῇ ἐπιφανείᾳ τοῦ ΔΕΖ τμήματος,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6,53r,117
τὸν,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,55v,125
καὶ περιγεγραμμένον,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.2,31v,067
Η δὲ Κ πρὸς τὴν Η μείζονα λόγον ἔχει ἢ τριπλάσιον τοῦ ὃν ἔχει ἡ Κ πρὸς τὴν Ι,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.3,33v,073
καὶ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.7,35v,080
ἴση,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,38v,088
ἢ,urn:cts:greekLit:tlg0552.tlg001.cb8:1.corollaries.11,39r,090
τμήματος,urn:cts:greekLit:tlg0552.tlg001.cb8:2.preface,43r,103
πρὸς τὸν περὶ διὰμετρον τὴν ΘΚ κὺκλον,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.5,51v,112
ἐλάσσονα λόγον ἔχει ἤπερ τὸ ἀπὸ ΑΘ ἐπὶ τὴν ΗΘ πρὸς τὸ ἀπὸ ΓΘ ἐπὶ τὴν ΘΗ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56r,128
ἀπὸ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56r,130
ἐπὶ τὴν ΘΖ μείζονα λόγον ἔχει ἤπερ τὸ ἀπὸ ΑΘ πρὸς τὸ ὑπὸ ΒΘΓ,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.8b,56v,133
δὲ [1],urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9,57v,136
τμῆμα,urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.6,52r,113
δὲ [2],urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9,57v,137
"ἀπὸ ΑΡ, πρὸς τὸ",urn:cts:greekLit:tlg0552.tlg001.cb8:2.propositions.9,58r,140
