Diagram,Notes,Image,Folio
urn:cts:greekLit:tlg0552.tlg010:9.2,,"urn:cite:ap:apimg.048r-041v_Arch25r_Sinar_pseudo_no-veil@0.0947,0.537,0.3723,0.2735",urn:cite:fuhc:euch.25r
urn:cts:greekLit:tlg0552.tlg010:9.3,,"urn:cite:ap:apimg.048r-041v_Arch25r_Sinar_pseudo_no-veil@0.1217,0.803,0.282,0.0698",urn:cite:fuhc:euch.25r
urn:cts:greekLit:tlg0552.tlg010:12.1,,"urn:cite:ap:apimg.047v-042r_Arch26v_Sinar_pseudo_no-veil@0.2017,0.372,0.2753,0.204",urn:cite:fuhc:euch.26v
urn:cts:greekLit:tlg0552.tlg010:13.1,,"urn:cite:ap:apimg.047v-042r_Arch26v_Sinar_pseudo_no-veil@0.1873,0.6823,0.2793,0.2328",urn:cite:fuhc:euch.26v
urn:cts:greekLit:tlg0552.tlg010:14.1,,"urn:cite:ap:apimg.158r-159v_Arch28r_Sinar_pseudo_no-veil@0.1557,0.3943,0.2303,0.1695",urn:cite:fuhc:euch.28r
urn:cts:greekLit:tlg0552.tlg004:2.1,,"urn:cite:ap:apimg.165r-168v_Arch29v-30r_Sinar_pseudo_no-veil@0.4383,0.5071,0.239,0.0929",urn:cite:fuhc:euch.30r
urn:cts:greekLit:tlg0552.tlg004:6.1,,"urn:cite:ap:apimg.168r-165v_Arch30v-29r_Sinar_pseudo_no-veil@0.2233,0.7633,0.2467,0.1733",urn:cite:fuhc:euch.30v
urn:cts:greekLit:tlg0552.tlg004:6.1,"Heiberg","urn:cite:ap:apimg.168r-165v_Arch30v-29r_Heiberg_visible_stitch@0.2293,0.7622,0.224,0.1578",urn:cite:fuhc:euch.30v
urn:cts:greekLit:tlg0552.tlg004:10.1,,"urn:cite:ap:apimg.059r-062v_Arch31r_Sinar_pseudo_no-veil@0.1193,0.651,0.344,0.1893",urn:cite:fuhc:euch.31r
urn:cts:greekLit:tlg0552.tlg004:10.1,"Heiberg","urn:cite:ap:apimg.059r-062v_Arch31r_Heiberg_visible_stitch@0.125,0.6573,0.298,0.1818",urn:cite:fuhc:euch.31r
urn:cts:greekLit:tlg0552.tlg004:10.2,,"urn:cite:ap:apimg.059v-062r_Arch31v_Sinar_pseudo_no-veil@0.502,0.8275,0.2873,0.0845",urn:cite:fuhc:euch.31v
urn:cts:greekLit:tlg0552.tlg004:11.1,,"urn:cite:ap:apimg.125r-132v_Arch33r_Sinar_pseudo_no-veil@0.1223,0.652,0.2997,0.1845",urn:cite:fuhc:euch.33r
urn:cts:greekLit:tlg0552.tlg004:12.1,,"urn:cite:ap:apimg.125v-132r_Arch33v_Sinar_pseudo_no-veil@0.533,0.5968,0.2503,0.15",urn:cite:fuhc:euch.33v
urn:cts:greekLit:tlg0552.tlg004:13.1,"Proof by contradiction; Illogical diagram","urn:cite:ap:apimg.126r-131v_Arch34r_Sinar_pseudo_no-veil@0.0867,0.5998,0.4193,0.3018",urn:cite:fuhc:euch.34r
urn:cts:greekLit:tlg0552.tlg004:14.1,,"urn:cite:ap:apimg.126v-131r_Arch34v_Sinar_pseudo_no-veil@0.21,0.3735,0.2603,0.1895",urn:cite:fuhc:euch.34v
urn:cts:greekLit:tlg0552.tlg004:15.1,,"urn:cite:ap:apimg.161r-156v_Arch35r_Sinar_pseudo_no-veil@0.1233,0.2063,0.244,0.186",urn:cite:fuhc:euch.35r
urn:cts:greekLit:tlg0552.tlg004:16.1,,"urn:cite:ap:apimg.161v-156r_Arch35v_Sinar_pseudo_no-veil@0.1737,0.5248,0.3177,0.216",urn:cite:fuhc:euch.35v
urn:cts:greekLit:tlg0552.tlg004:17.1,,"urn:cite:ap:apimg.060r-061v_Arch36r_Sinar_pseudo_no-veil@0.1183,0.684,0.4693,0.2445",urn:cite:fuhc:euch.36r
urn:cts:greekLit:tlg0552.tlg004:18.1,,"urn:cite:ap:apimg.060v-061r_Arch36v_Sinar_pseudo_no-veil@0.5067,0.2023,0.2913,0.1645",urn:cite:fuhc:euch.36v
urn:cts:greekLit:tlg0552.tlg004:19.1,,"urn:cite:ap:apimg.030r-033v_Arch37r_Sinar_pseudo_no-veil@0.105,0.633,0.3737,0.2005",urn:cite:fuhc:euch.37r
urn:cts:greekLit:tlg0552.tlg004:20.1,,"urn:cite:ap:apimg.030v-033r_Arch37v_Sinar_pseudo_no-veil@0.4867,0.3953,0.3327,0.198",urn:cite:fuhc:euch.37v
